epoch,train_loss,validation_loss,validation_macro_f1,validation_accuracy,architecture,regime,seed
3,0.440139679691913,1.8761226156075013,0.664505335655583,0.6502463054187192,resnet50,balanced_ce,27182
4,0.4357009150650882,0.2768461502880494,0.8897381848272206,0.8653530377668309,resnet50,balanced_ce,27182
5,0.2918833515372762,0.4253726143432759,0.8928161312371838,0.8817733990147784,resnet50,balanced_ce,27182
6,0.2452105589381211,0.2930099253140524,0.884625601545866,0.8752052545155994,resnet50,balanced_ce,27182
7,0.1907479588616711,0.5910119730948619,0.7767545514230517,0.7471264367816092,resnet50,balanced_ce,27182
8,0.1979189304428695,0.5045740735428087,0.8484426682002294,0.8357963875205254,resnet50,balanced_ce,27182
9,0.1678952421253196,0.1680878509227522,0.9338765918025008,0.9277504105090312,resnet50,balanced_ce,27182
10,0.1464971869725649,0.2153601075640355,0.904796420653445,0.9146141215106732,resnet50,balanced_ce,27182
11,0.1440806330978765,0.1887695207099259,0.9437368395111536,0.9326765188834154,resnet50,balanced_ce,27182
12,0.1288095424393673,0.0633675388747914,0.9845380106171472,0.9819376026272578,resnet50,balanced_ce,27182
13,0.0922539834466702,0.3355194559238227,0.8892686332319228,0.8784893267651889,resnet50,balanced_ce,27182
14,0.144988020530432,0.1185152338092951,0.9626112200572916,0.9573070607553368,resnet50,balanced_ce,27182
15,0.1154702227948943,0.089869182839017,0.9687922640065098,0.9688013136289,resnet50,balanced_ce,27182
16,0.0910299421351907,0.0457285067853357,0.9908196564950504,0.9885057471264368,resnet50,balanced_ce,27182
17,0.0607154736416463,0.1992914024231021,0.9304346035970616,0.9195402298850576,resnet50,balanced_ce,27182
18,0.0632767512161867,0.0276107386531452,0.993118849292718,0.9917898193760264,resnet50,balanced_ce,27182
19,0.0469792770635932,0.2733380250871328,0.9216502882095128,0.909688013136289,resnet50,balanced_ce,27182
20,0.0540868644640242,0.028536779558468,0.9916531385281384,0.9901477832512317,resnet50,balanced_ce,27182
21,0.030347630598088,0.0389119373792497,0.9940726711560044,0.993431855500821,resnet50,balanced_ce,27182
